001,ProductA,125.50,2024-01-15T08:30:00
002,ProductB,89.99,2024-01-15T09:15:23
003,ProductC,234.00,2024-01-16T10:45:12
004,ProductD,456.75,2024-01-16T11:20:45
005,ProductE,78.25,2024-01-17T14:55:33
006,ProductF,192.40,2024-01-17T15:30:21
007,ProductG,567.80,2024-01-18T08:12:09
008,ProductH,23.99,2024-01-18T09:45:54
009,ProductI,345.60,2024-01-19T10:23:17
010,ProductJ,91.15,2024-01-19T11:48:42
011,ProductK,678.90,2024-01-20T13:05:29
012,ProductL,145.25,2024-01-20T14:33:58
013,ProductM,289.50,2024-01-21T16:20:11
014,ProductN,512.35,2024-01-21T17:42:36
015,ProductO,67.80,2024-01-22T08:55:22
016,ProductP,423.70,2024-01-22T09:18:47
017,ProductQ,156.90,2024-01-23T10:37:15
018,ProductR,734.20,2024-01-23T12:08:53
019,ProductS,98.45,2024-01-24T13:25:40
020,ProductT,267.85,2024-01-24T14:50:18
021,ProductU,891.30,2024-01-25T15:12:05
022,ProductV,54.60,2024-01-25T16:38:29
023,ProductW,378.95,2024-01-26T08:02:44
024,ProductX,623.40,2024-01-26T09:27:33
025,ProductY,189.75,2024-01-27T10:53:21
026,ProductZ,445.50,2024-01-27T11:19:08
027,ProductAA,712.65,2024-01-28T12:41:55
028,ProductAB,83.20,2024-01-28T14:07:42
029,ProductAC,356.80,2024-01-29T15:29:17
030,ProductAD,598.15,2024-01-29T16:54:36
031,ProductAE,127.40,2024-01-30T08:16:23
032,ProductAF,469.90,2024-01-30T09:42:11
033,ProductAG,801.25,2024-01-31T10:08:58
034,ProductAH,234.55,2024-01-31T11:35:46
035,ProductAI,576.30,2024-02-01T13:01:22
036,ProductAJ,92.70,2024-02-01T14:28:09
037,ProductAK,418.85,2024-02-02T15:53:57
038,ProductAL,745.60,2024-02-02T16:19:44
039,ProductAM,163.95,2024-02-03T08:45:31
040,ProductAN,501.20,2024-02-03T09:11:18
041,ProductAO,834.75,2024-02-04T10:37:05
042,ProductAP,278.50,2024-02-04T12:02:52
043,ProductAQ,612.35,2024-02-05T13:28:39
044,ProductAR,45.80,2024-02-05T14:54:26
045,ProductAS,389.65,2024-02-06T16:20:13
046,ProductAT,723.90,2024-02-06T17:46:00
047,ProductAU,156.25,2024-02-07T08:11:47
048,ProductAV,498.70,2024-02-07T09:37:34
049,ProductAW,812.45,2024-02-08T11:03:21
050,ProductAX,245.60,2024-02-08T12:29:08
051,ProductAY,589.95,2024-02-09T13:54:55
052,ProductAZ,923.30,2024-02-09T15:20:42
053,ProductBA,67.85,2024-02-10T16:46:29
054,ProductBB,401.40,2024-02-10T17:12:16
055,ProductBC,756.75,2024-02-11T08:38:03
056,ProductBD,189.20,2024-02-11T10:03:50
057,ProductBE,534.55,2024-02-12T11:29:37
058,ProductBF,878.90,2024-02-12T12:55:24
059,ProductBG,312.25,2024-02-13T14:21:11
060,ProductBH,645.60,2024-02-13T15:46:58
061,ProductBI,78.95,2024-02-14T17:12:45
062,ProductBJ,423.30,2024-02-14T18:38:32
063,ProductBK,767.65,2024-02-15T08:04:19
064,ProductBL,201.50,2024-02-15T09:30:06
065,ProductBM,556.85,2024-02-16T10:55:53
066,ProductBN,890.20,2024-02-16T12:21:40
067,ProductBO,334.75,2024-02-17T13:47:27
068,ProductBP,689.10,2024-02-17T15:13:14
069,ProductBQ,123.45,2024-02-18T16:39:01
070,ProductBR,467.80,2024-02-18T18:04:48
